author,title,description,url,urlToImage,publishedAt,content,country_code,source_id,source_name
CNN Arabic,مصور يكشف عن وجود واحة مخفية بين أحضان جبال الإمارات..ما سرها؟ - CNN Arabic,,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vYXJhYmljLmNubi5jb20vdHJhdmVsL2FydGljbGUvMjAyMy8wNC8yNi91YWUtaGlkZGVuLW9hc2lz0gFJaHR0cHM6Ly9hcmFiaWMuY25uLmNvbS9hbXBodG1sL3RyYXZlbC9hcnRpY2xlLzIwMjMvMDQvMjYvdWFlLWhpZGRlbi1vYXNpcw?oc=5,,2023-04-26T08:03:28Z,,ae,google-news,Google News
صحيفة الشرق الأوسط,روسيا «تجيز» تدخل «فاغنر» في السودان - صحيفة الشرق الأوسط,,https://news.google.com/rss/articles/CBMi5wFodHRwczovL2Fhd3NhdC5jb20vaG9tZS9hcnRpY2xlLzQyOTQ0MDEvJUQ4JUIxJUQ5JTg4JUQ4JUIzJUQ5JThBJUQ4JUE3LSVDMiVBQiVEOCVBQSVEOCVBQyVEOSU4QSVEOCVCMiVDMiVCQi0lRDglQUElRDglQUYlRDglQUUlRDklODQtJUMyJUFCJUQ5JTgxJUQ4JUE3JUQ4JUJBJUQ5JTg2JUQ4JUIxJUMyJUJCLSVEOSU4MSVEOSU4QS0lRDglQTclRDklODQlRDglQjMlRDklODglRDglQUYlRDglQTclRDklODbSAesBaHR0cHM6Ly9hYXdzYXQuY29tL2hvbWUvYXJ0aWNsZS80Mjk0NDAxLyVEOCVCMSVEOSU4OCVEOCVCMyVEOSU4QSVEOCVBNy0lQzIlQUIlRDglQUElRDglQUMlRDklOEElRDglQjIlQzIlQkItJUQ4JUFBJUQ4JUFGJUQ4JUFFJUQ5JTg0LSVDMiVBQiVEOSU4MSVEOCVBNyVEOCVCQSVEOSU4NiVEOCVCMSVDMiVCQi0lRDklODElRDklOEEtJUQ4JUE3JUQ5JTg0JUQ4JUIzJUQ5JTg4JUQ4JUFGJUQ4JUE3JUQ5JTg2P2FtcA?oc=5,,2023-04-26T07:56:32Z,,ae,google-news,Google News
فرانس 24 / FRANCE 24,"فشل هبوط مركبة ""آي سبايس"" التي تحمل المستكشف الإماراتي ""راشد"" على سطح القمر - فرانس 24 / FRANCE 24",,https://news.google.com/rss/articles/CBMiuANodHRwczovL3d3dy5mcmFuY2UyNC5jb20vYXIvJUQ4JUEzJUQ5JTg1JUQ4JUIxJUQ5JThBJUQ5JTgzJUQ4JUE3LzIwMjMwNDI2LSVEOSU4MSVEOCVCNCVEOSU4NC0lRDklODclRDglQTglRDklODglRDglQjctJUQ5JTg1JUQ4JUIxJUQ5JTgzJUQ4JUE4JUQ4JUE5LSVEOCVBMiVEOSU4QS0lRDglQjMlRDglQTglRDglQTclRDklOEElRDglQjMtJUQ4JUE3JUQ5JTg0JUQ4JUFBJUQ5JThBLSVEOCVBQSVEOCVBRCVEOSU4NSVEOSU4NC0lRDglQTclRDklODQlRDklODUlRDglQjMlRDglQUElRDklODMlRDglQjQlRDklODEtJUQ4JUE3JUQ5JTg0JUQ4JUE1JUQ5JTg1JUQ4JUE3JUQ4JUIxJUQ4JUE3JUQ4JUFBJUQ5JThBLSVEOCVCMSVEOCVBNyVEOCVCNCVEOCVBRi0lRDglQjklRDklODQlRDklODktJUQ4JUIzJUQ4JUI3JUQ4JUFELSVEOCVBNyVEOSU4NCVEOSU4MiVEOSU4NSVEOCVCMdIBuANodHRwczovL2FtcC5mcmFuY2UyNC5jb20vYXIvJUQ4JUEzJUQ5JTg1JUQ4JUIxJUQ5JThBJUQ5JTgzJUQ4JUE3LzIwMjMwNDI2LSVEOSU4MSVEOCVCNCVEOSU4NC0lRDklODclRDglQTglRDklODglRDglQjctJUQ5JTg1JUQ4JUIxJUQ5JTgzJUQ4JUE4JUQ4JUE5LSVEOCVBMiVEOSU4QS0lRDglQjMlRDglQTglRDglQTclRDklOEElRDglQjMtJUQ4JUE3JUQ5JTg0JUQ4JUFBJUQ5JThBLSVEOCVBQSVEOCVBRCVEOSU4NSVEOSU4NC0lRDglQTclRDklODQlRDklODUlRDglQjMlRDglQUElRDklODMlRDglQjQlRDklODEtJUQ4JUE3JUQ5JTg0JUQ4JUE1JUQ5JTg1JUQ4JUE3JUQ4JUIxJUQ4JUE3JUQ4JUFBJUQ5JThBLSVEOCVCMSVEOCVBNyVEOCVCNCVEOCVBRi0lRDglQjklRDklODQlRDklODktJUQ4JUIzJUQ4JUI3JUQ4JUFELSVEOCVBNyVEOSU4NCVEOSU4MiVEOSU4NSVEOCVCMQ?oc=5,,2023-04-26T07:12:13Z,,ae,google-news,Google News
Al Mayadeen الميادين,"""غلوبال تايمز"": سباق الفئران بين بايدن وترامب سيعمّق الانقسام الأميركي - Al Mayadeen الميادين",,https://news.google.com/rss/articles/CBMi2gJodHRwczovL3d3dy5hbG1heWFkZWVuLm5ldC9uZXdzL3BvbGl0aWNzLyVEOCVCQSVEOSU4NCVEOSU4OCVEOCVBOCVEOCVBNyVEOSU4NC0lRDglQUElRDglQTclRDklOEElRDklODUlRDglQjI6LSVEOCVCMyVEOCVBOCVEOCVBNyVEOSU4Mi0lRDglQTclRDklODQlRDklODElRDglQTYlRDglQjElRDglQTclRDklODYtJUQ4JUE4JUQ5JThBJUQ5JTg2LSVEOCVBOCVEOCVBNyVEOSU4QSVEOCVBRiVEOSU4Ni0lRDklODglRDglQUElRDglQjElRDglQTclRDklODUlRDglQTgtJUQ4JUIzJUQ5JThBJUQ4JUE0JUQ4JUFGJUQ5JThBLSVEOCVBNSVEOSU4NCVEOSU4OS0lRDklODUlRDglQjIlRDklOEElRDglQUYtJUQ5JTg10gEA?oc=5,,2023-04-26T07:01:01Z,,ae,google-news,Google News
مجلة سيدتي,"صحة القلب: 7 أطعمة ""خارقة"" في الوقاية من أمراض الشرايين - مجلة سيدتي",,https://news.google.com/rss/articles/CBMigwNodHRwczovL3d3dy5zYXlpZGF0eS5uZXQvbm9kZS8xNTg1NTk2LyVEOCVCNSVEOCVBRCVEOCVBOS8lRDglQTclRDklODQlRDglQjUlRDglQUQlRDglQTktJUQ4JUE3JUQ5JTg0JUQ4JUI5JUQ4JUE3JUQ5JTg1JUQ4JUE5LyVEOCVCNSVEOCVBRCVEOCVBOS0lRDglQTclRDklODQlRDklODIlRDklODQlRDglQTgtNy0lRDglQTMlRDglQjclRDglQjklRDklODUlRDglQTktJUQ4JUFFJUQ4JUE3JUQ4JUIxJUQ5JTgyJUQ4JUE5LSVEOSU4MSVEOSU4QS0lRDglQTclRDklODQlRDklODglRDklODIlRDglQTclRDklOEElRDglQTktJUQ5JTg1JUQ5JTg2LSVEOCVBMyVEOSU4NSVEOCVCMSVEOCVBNyVEOCVCNi0lRDglQTclRDklODQlRDglQjQlRDglQjElRDglQTclRDklOEElRDklOEElRDklODbSAQA?oc=5,,2023-04-26T06:41:09Z,,ae,google-news,Google News
مجلة سيدتي,فوائد شرب ماء الزعتر على الريق.. لا غنى عنها على الإطلاق - مجلة سيدتي,,https://news.google.com/rss/articles/CBMilQNodHRwczovL3d3dy5zYXlpZGF0eS5uZXQvbm9kZS8xNTg1NjAxLyVEOCVCNSVEOCVBRCVEOCVBOS8lRDglQjElRDglQjQlRDglQTclRDklODIlRDglQTktJUQ5JTg4JUQ4JUFBJUQ4JUJBJUQ4JUIwJUQ5JThBJUQ4JUE5LyVEOSU4MSVEOSU4OCVEOCVBNyVEOCVBNiVEOCVBRi0lRDglQjQlRDglQjElRDglQTgtJUQ5JTg1JUQ4JUE3JUQ4JUExLSVEOCVBNyVEOSU4NCVEOCVCMiVEOCVCOSVEOCVBQSVEOCVCMS0lRDglQjklRDklODQlRDklODktJUQ4JUE3JUQ5JTg0JUQ4JUIxJUQ5JThBJUQ5JTgyLSVEOSU4NCVEOCVBNy0lRDglQkElRDklODYlRDklODktJUQ4JUI5JUQ5JTg2JUQ5JTg3JUQ4JUE3LSVEOCVCOSVEOSU4NCVEOSU4OS0lRDglQTclRDklODQlRDglQTUlRDglQjclRDklODQlRDglQTclRDklODIlQzIlQTDSAQA?oc=5,,2023-04-26T06:41:09Z,,ae,google-news,Google News
Sky News Arabia سكاي نيوز عربية,رسميا.. الجيش السوداني يحدد مكان تواجد عمر البشير - Sky News Arabia سكاي نيوز عربية,,https://news.google.com/rss/articles/CBMiqQJodHRwczovL3d3dy5za3luZXdzYXJhYmlhLmNvbS9taWRkbGUtZWFzdC8xNjE1Nzc4LSVEOCVCMSVEOCVCMyVEOSU4NSVEOSU4QSVEOCVBNy0lRDglQTclRDklODQlRDglQUMlRDklOEElRDglQjQtJUQ4JUE3JUQ5JTg0JUQ4JUIzJUQ5JTg4JUQ4JUFGJUQ4JUE3JUQ5JTg2JUQ5JThBLSVEOSU4QSVEOCVBRCVEOCVBRiVEOCVBRi0lRDklODUlRDklODMlRDglQTclRDklODYtJUQ4JUFBJUQ5JTg4JUQ4JUE3JUQ4JUFDJUQ4JUFGLSVEOCVCOSVEOSU4NSVEOCVCMS0lRDglQTclRDklODQlRDglQTglRDglQjQlRDklOEElRDglQjHSAa0CaHR0cHM6Ly93d3cuc2t5bmV3c2FyYWJpYS5jb20vYW1wL21pZGRsZS1lYXN0LzE2MTU3NzgtJUQ4JUIxJUQ4JUIzJUQ5JTg1JUQ5JThBJUQ4JUE3LSVEOCVBNyVEOSU4NCVEOCVBQyVEOSU4QSVEOCVCNC0lRDglQTclRDklODQlRDglQjMlRDklODglRDglQUYlRDglQTclRDklODYlRDklOEEtJUQ5JThBJUQ4JUFEJUQ4JUFGJUQ4JUFGLSVEOSU4NSVEOSU4MyVEOCVBNyVEOSU4Ni0lRDglQUElRDklODglRDglQTclRDglQUMlRDglQUYtJUQ4JUI5JUQ5JTg1JUQ4JUIxLSVEOCVBNyVEOSU4NCVEOCVBOCVEOCVCNCVEOSU4QSVEOCVCMQ?oc=5,,2023-04-26T06:28:57Z,,ae,google-news,Google News
dubaisports.ae,بالصورة .. هل شمت جافي بسقوط ريال مدريد أمام جيرونا - dubaisports.ae,,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmR1YmFpc3BvcnRzLmFlL2NvbnRlbnQvZHViYWlzcG9ydHMvZm9vdGJhbGwvZXVyb3BlL3NwYWluL2xhLWxpZ2EuMjAyMy0wNC0yNl8xXzE5OC5odG1s0gFmaHR0cHM6Ly93d3cuZHViYWlzcG9ydHMuYWUvY29udGVudC9kdWJhaXNwb3J0cy9mb290YmFsbC9ldXJvcGUvc3BhaW4vbGEtbGlnYS5hbXAuMjAyMy0wNC0yNl8xXzE5OC5odG1s?oc=5,,2023-04-26T06:25:48Z,,ae,google-news,Google News
الحرة,ما علاقة البطاطس المقلية بالاكتئاب والقلق؟.. بحث جديد يجيب - الحرة,,https://news.google.com/rss/articles/CBMi0gJodHRwczovL3d3dy5hbGh1cnJhLmNvbS9oZWFsdGgvMjAyMy8wNC8yNS8lRDklODUlRDglQTctJUQ4JUI5JUQ5JTg0JUQ4JUE3JUQ5JTgyJUQ4JUE5LSVEOCVBNyVEOSU4NCVEOCVBOCVEOCVCNyVEOCVBNyVEOCVCNyVEOCVCMy0lRDglQTclRDklODQlRDklODUlRDklODIlRDklODQlRDklOEElRDglQTktJUQ4JUE4JUQ4JUE3JUQ5JTg0JUQ4JUE3JUQ5JTgzJUQ4JUFBJUQ4JUE2JUQ4JUE3JUQ4JUE4LSVEOSU4OCVEOCVBNyVEOSU4NCVEOSU4MiVEOSU4NCVEOSU4MiVEOCU5Ri0lRDglQTglRDglQUQlRDglQUItJUQ4JUFDJUQ4JUFGJUQ5JThBJUQ4JUFGLSVEOSU4QSVEOCVBQyVEOSU4QSVEOCVBONIB1gJodHRwczovL3d3dy5hbGh1cnJhLmNvbS9oZWFsdGgvMjAyMy8wNC8yNS8lRDklODUlRDglQTctJUQ4JUI5JUQ5JTg0JUQ4JUE3JUQ5JTgyJUQ4JUE5LSVEOCVBNyVEOSU4NCVEOCVBOCVEOCVCNyVEOCVBNyVEOCVCNyVEOCVCMy0lRDglQTclRDklODQlRDklODUlRDklODIlRDklODQlRDklOEElRDglQTktJUQ4JUE4JUQ4JUE3JUQ5JTg0JUQ4JUE3JUQ5JTgzJUQ4JUFBJUQ4JUE2JUQ4JUE3JUQ4JUE4LSVEOSU4OCVEOCVBNyVEOSU4NCVEOSU4MiVEOSU4NCVEOSU4MiVEOCU5Ri0lRDglQTglRDglQUQlRDglQUItJUQ4JUFDJUQ4JUFGJUQ5JThBJUQ4JUFGLSVEOSU4QSVEOCVBQyVEOSU4QSVEOCVBOD9hbXA?oc=5,,2023-04-26T05:17:26Z,,ae,google-news,Google News
العربية,أسعار الذهب تستقر قرب 2000 دولار للأونصة - العربية,,https://news.google.com/rss/articles/CBMi-wFodHRwczovL3d3dy5hbGFyYWJpeWEubmV0L2Fzd2FxL2ZpbmFuY2lhbC1tYXJrZXRzLzIwMjMvMDQvMjYvJUQ4JUEzJUQ4JUIzJUQ4JUI5JUQ4JUE3JUQ4JUIxLSVEOCVBNyVEOSU4NCVEOCVCMCVEOSU4NyVEOCVBOC0lRDglQUElRDglQjMlRDglQUElRDklODIlRDglQjEtJUQ5JTgyJUQ4JUIxJUQ4JUE4LTIwMDAtJUQ4JUFGJUQ5JTg4JUQ5JTg0JUQ4JUE3JUQ4JUIxLSVEOSU4NCVEOSU4NCVEOCVBMyVEOSU4OCVEOSU4NiVEOCVCNSVEOCVBOdIB_wFodHRwczovL3d3dy5hbGFyYWJpeWEubmV0L2FtcC9hc3dhcS9maW5hbmNpYWwtbWFya2V0cy8yMDIzLzA0LzI2LyVEOCVBMyVEOCVCMyVEOCVCOSVEOCVBNyVEOCVCMS0lRDglQTclRDklODQlRDglQjAlRDklODclRDglQTgtJUQ4JUFBJUQ4JUIzJUQ4JUFBJUQ5JTgyJUQ4JUIxLSVEOSU4MiVEOCVCMSVEOCVBOC0yMDAwLSVEOCVBRiVEOSU4OCVEOSU4NCVEOCVBNyVEOCVCMS0lRDklODQlRDklODQlRDglQTMlRDklODglRDklODYlRDglQjUlRDglQTk?oc=5,,2023-04-26T05:15:00Z,,ae,google-news,Google News
